1,0.79,0.36,0.96,0.89,0.79,0.76,0.26,0.21,0.26,0.07,0.52,0.77,0.25,0.51,0.21
0.79,1,0.31,0.74,0.58,0.58,0.55,0.19,0.07,0.16,0.21,0.41,0.47,0.17,0.35,0.16
0.36,0.31,1,0.38,0.31,0.3,0.35,0.58,0.28,0.33,0.38,0.35,0.41,0.64,0.58,0.51
0.96,0.74,0.38,1,0.9,0.78,0.75,0.25,0.2,0.22,0.08,0.53,0.79,0.27,0.57,0.26
0.89,0.58,0.31,0.9,1,0.79,0.74,0.25,0.18,0.23,-0.02,0.48,0.79,0.27,0.51,0.23
0.79,0.58,0.3,0.78,0.79,1,0.73,0.18,0.18,0.23,0,0.38,0.69,0.14,0.26,0
0.76,0.55,0.35,0.75,0.74,0.73,1,0.24,0.29,0.25,0.1,0.44,0.67,0.16,0.38,0.12
0.26,0.19,0.58,0.25,0.25,0.18,0.24,1,-0.04,0.49,0.44,0.3,0.32,0.51,0.51,0.38
0.21,0.07,0.28,0.2,0.18,0.18,0.29,-0.04,1,-0.34,-0.16,-0.05,0.23,0.21,0.15,0.18
0.26,0.16,0.33,0.22,0.23,0.23,0.25,0.49,-0.34,1,0.23,0.5,0.31,0.15,0.29,0.14
0.07,0.21,0.38,0.08,-0.02,0,0.1,0.44,-0.16,0.23,1,0.24,0.1,0.31,0.28,0.31
0.52,0.41,0.35,0.53,0.48,0.38,0.44,0.3,-0.05,0.5,0.24,1,0.62,0.17,0.41,0.18
0.77,0.47,0.41,0.79,0.79,0.69,0.67,0.32,0.23,0.31,0.1,0.62,1,0.26,0.5,0.24
0.25,0.17,0.64,0.27,0.27,0.14,0.16,0.51,0.21,0.15,0.31,0.17,0.26,1,0.63,0.5
0.51,0.35,0.58,0.57,0.51,0.26,0.38,0.51,0.15,0.29,0.28,0.41,0.5,0.63,1,0.65
0.21,0.16,0.51,0.26,0.23,0,0.12,0.38,0.18,0.14,0.31,0.18,0.24,0.5,0.65,1
